Question,Answer,1
Is there a way to upload models to the Peltarion platform?,"No, it's currently not possible to upload models to the Peltarion platform.",1
Is it possible to download the trained model and run it locally?,"Yes, (depending on your subscription plan)  you can. There's a button in the upper-right corner on the Model view.",1
Nothing happens when I call Peltarion from Bubble,"The most common issue when users work with Peltarion from Bubble is that the Bubble app isn't properly built. Maybe the workflow (Bubble term) isn't setup correctly, or maybe the labels displaying the result aren't connected to the data. A good start, given there's no error message shown (see other Bubble-related question below) is to ask for screenshots from the different views and see how it's all setup.",1
I get an error message when calling Peltarion from Bubble,"There are multiple potential causes for this. A checklist for the most common issues are:
- Is the model deployed and enabled on the Peltarion platform?
- Are the credentials correct?
Calling the API with cURL verifies that the credentials are correct and the API is enabled, so it might be a good step.
If it still doesn't work, one possibility is to go to Azure, stream the logs for the middle layer (""peltarionforward"") and ask the user to call the Peltarion platform again. Following the logs, you will see the request and the response which gives you a good picture of what's happening.
",1
I want to cancel my subscription,"Reply that we'll do it, and the account will be gone within 90 days. Talk to Patrick Juhl about removal.",1
I get an error when running my experiment,"There might be many causes for this, so the simplest way to do this is to check the logs. If you have access - great, otherwise check with the platform team. To find the logs, you'd need the project ID which you can get from copying the browser URL.",1
I'm unable to change encoding of feature,"Hi, the dataset settings are locked when the dataset becomes saved. To change settings, you must click on Go to draft to start editing settings, and save a new version of the dataset when you are done. Let me know if you need further assistance!",1
"I have two features or labels ""Customer's msg"" and ""bot response"" . Through feature settings I am unable to change the encoding from Categorical to text","Hi, the dataset settings are locked when the dataset becomes saved. To change settings, you must click on Go to draft to start editing settings, and save a new version of the dataset when you are done. Let me know if you need further assistance!",1
"I tried to upload my dataset. In my case, the dataset consists of text, like a speech, that I want to upload and then run semantic search, showing me not only exact matches, but also closely related quotes. Do you think your platform can help me with this project, and what is exactly the best format to upload this kind of data, as this is not tabular data, but rather unstructured text. Thank you","The problem you describe sounds like it could be solved with Text similarity.
I would recommend you to try the tutorial Find similar Google questions so that you can get an idea of how it works on the platform and what results you might expect.

The way you would use it for your own problem is to upload a dataset containing many pieces of text that you want to index. The CSV file format is appropriate for this purpose, where you would have 1 feature (=column) with the texts you want to index, and at least 1 extra feature. The extra feature isn't actually used by the model, so you could have a column full of 0 for instance. You might also want extra features (=extra columns) that give info about the text, like the author, source, etc.

Once you uploaded this file and deployed a model using it (similarly to the tutorial), you will be able to send arbitrary text to the platform via the API and you will receive the texts from your dataset that are semantically related.",1
"I have an error saying: ""Target: This block needs a shape of . Update the previous blocks OR change the target feature to match the shape.""","The ""Target shape"" error message appears when the last block of the model graph (often a Dense block) doesn't output data in the same shape as the shape of the feature that is used in the Target block.

This can usually be fixed easily by changing the number of Nodes inside the last dense block to match the Target block. For example, if the Target uses a Numeric feature, the Dense block just before the Target should use 1 Node (corresponding to 1 numeric value).

If the target uses a Categorical feature with, for instance, 3 categories, then the last Dense block should use 3 Nodes (corresponding to the probabilities for 3 categories).

Now, there is something peculiar with similarity models because they don't actually need training so the Target feature doesn't matter, but the model graph should still look correct to be able to run.

Therefore you could use any numeric or categorical feature in the Target block, and make sure that the last Dense block matches the same shape as that feature. If you only have text in your dataset, you could create a dummy Numeric feature which is 0 everywhere just for the purpose of providing a Target to the model graph.

Let me know if that helps, or if things are still unclear and you're not sure how to proceed.

",1
The main issue right now is that any query I attempt on the API produces a 500 error. Do you have any idea on how I can figure this problem out?,"Typically, the first thing to check is if the model is Enabled, as it's easy to forget it after the deployment is created. For similarity models you will need to wait until indexing has finished to get the Enable button available.
If that's not the cause of the problem, there could be more things to check. For instance how to you query the API? Could you share an example of the code you use for that?
If it's OK for you that I look inside your experiment, I could also double check the model settings and test calling the API to see what logs I get.",1
"I always get an error saying: ""Target: Categorical crossentropy requires a target dimension of at least 2. Did you mean to use binary crossentropy instead?"" I also get this warning: ""The model doesnt contain any trainable blocks. Clicking Run will only go over the validation subset once, and no training will occur. To make a block trainable check the Trainable box."" I try to fix these errors and warning but I am probably messing something up in the process. On the Google questions tutorial there is this: ""The USE Embedding model is already pretrained for the purpose of text similarity. As a result, we don’t need to train it. We can directly run the model to create it and move to the next step."" How so, if when I import my dataset I face all these error and warnings? Sorry if I am bothering you, but I feel quite lost at the moment. Thank you","If I understand your status correctly, now you manage to use the similarity search feature correctly but there are 2 problems that you had to guess how to solve.

I'll give you some explanation for each problem so that you understand what's happening and how to solve it.

Target: Categorical crossentropy requires a target dimension of at least 2.
This message appears when there is a mismatch between the model target feature and the target's loss function. Even though the target feature is not actually used for similarity use cases, a model graph should always be correct as the same model could be deployed for different usages.
In your case, you can follow the suggestion and change the loss function to Binary crossentropy to make the model graph correct. If you were in a case where you need to train the model, you would also want to double-check that you are using the intended target feature and that it is encoded appropriately.
The model doesn't contain any trainable blocks.
This message appears when none of the blocks used in your model are set to Trainable. This could be a problem if you intend to train the model to solve your own personal task, but as you noticed we don't need to train models in the case of similarity search applications. Therefore you can simply ignore this message and, as it says, when you click on Run no training will occur which will save computation time. Skipping training lets you create a deployment faster.
I hope this covers the questions you had, and that you are not having another problem that I haven't noticed. Don't hesitate to ask otherwise!
",1
Hey. I get stuck on the log in page. It does not load anything except for the chat. Can you help me?,"Did you try to close your browser and then open it again? Sometimes data gets cached which messes up with the page loading.
Could you try to go to https://platform.peltarion.com/ in incognito mode? This should work if the problem is due to some cookies that went wrong.
",1
Is there a way to add to BERT's vocabulary and/or to use BioBERT? We're dealing with medical invoice data and there's quite a bit of acronyms/domain specific language on those.,"I would have to answer no because the biomedical pretraining of BioBERT is expensive and it's not possible to import your own models.

But it looks like biomedical is a very active field so let me check if we have any plans around that, and I'll get back to you later.

For extra info, would you be able to let me know roughly how long a typical invoice is, how many you have, and what you would like to do with them?",1
Is there a way to upload pickled files?,"Unfortunately not, the only Python file format support is Numpy arrays. Note that the arrays also should use 'float32' as data type to upload them on the platform.
Something that works very well is to build a Pandas dataframe from your data, and save it as a CSV file for upload.
If you have high dimensional data that is only numeric (eg. segmentation masks or want to have arrays as target), you could also upload Numpy array files saved with np.save('file.npy', X.astype('float32')).

You can find the exact specs for each file format there: https://peltarion.com/knowledge-center/documentation/datasets-view/import-files-and-data-sources-to-the-platform/requirements-of-imported-files
",1
"I understand that the running time is that costs money. Do I have to wait until the experiment stops itself or I can decide to stop the experiment when I see that the experiment precision and accuracy are good, because what I get a lower value is just an asymptotic/tangential like curves","There's a feature activated by default on the modelling view called Early Stopping. The purpose with that setting is that it will automatically stop the training if the results aren't getting any better. This is what you usually want. If you, for another reason, want to stop training, you can do that by pressing the pause button on the experiment.",1
"I have a data file, in which I define several possible targets of the neural net. When I build a comp graph in Peltarion, I can only select one of these targets. Is there a possibility to somehow join or merge different of these targets into one?
(The use case is that I need to try different combinations of targets. For example, I have targets A, B and C. In one design, I'd like to try targets A and C, in another design, I'd like to try A and B.)
Is it possible to somehow join different values into one target (without generating all possibilities in the data file?)","What kind of data are your targets? If you work with binary or numeric targets, I'd suggest looking at building feature sets. We have documented it here: https://peltarion.com/knowledge-center/documentation/datasets-view/edit-an-imported-dataset-for-use-in-experiments/dataset-features
If your targets are numeric, you can group them together in a feature set and use that feature set as your target when training the model
The different targets will still be separated (ie. different columns in your csv) in the dataset, but then you can combine them into a single target using feature sets on the Dataset view on the Peltarion platform. Is that feasible for your use case?",1
PLEASE I WANT TO CANCEL MY SUBSCRIPTION,"Hi, We're sorry to see you leave :(
Your account will be deleted within 90 days.",1
my model size reaches 12.3 GB while limit is 5GB,"Particularly big models may require a lot of RAM to run, and an easy fix you could do is to reduce the Batch size in the modeling Settings panel. I would recommend that you decrease it just enough until the model is able to run.

This will let your model iterate over the dataset using fewer examples at a time.",1
Is there any way i can generate report after done with the model training,No we dont have that functionality right now.,1
Please delete my account,"We're sorry to see you go. Your account will be deleted within 90 days from today.

You're always welcome back and don't hesitate to let us know if there are things you would like us to improve.",1
"If I may asking a little bit of support for API deployment
do you have any worked example in python? I'm nearly there, but I'm working alone (and not used to deploy =) )","What kind of model are you working with? For most models, the easiest way to use the deployment from Python is with a tool call Sidekick: https://github.com/Peltarion/sidekick#get-predictions-out---use-a-deployed-experiment
It works with all models except similarity search
pip install git+https://github.com/Peltarion/sidekick#egg=sidekick
I put together an example using requests here, for reference: https://colab.research.google.com/drive/1ne0uWsQf5DwkqbTo6TB_CbTgUdMi7rjC?usp=sharing",1
"Block configuration
Some operations in your model could not have been executed.
This is probably linked to some invalid block parameters
or connections.
Reference ID: a8000815","So we dug into this a bit. It seems you have image(s) that are corrupt somehow. Unfortunately we can’t see which one.
Here is a reading tip that could help you do a first check.
https://stackoverflow.com/questions/17757114/imagemagick-to-verify-image-integrity


Another way is to simply iterate a bit and upload half of the dataset first (or you could try creating a subset)Try it out, then for half of what’s left etc. until you reach a point where you at least minimized the data you can’t use",1
"i deployed an model

how can i test after deployment ?",You are able to test your Deployment using the the Peltarion Test App: https://peltarion.com/knowledge-center/documentation/deployment-view#_using_your_deployment . Hope this helps!,1
How can I get familiar with terminology?,"Hi, great question. We have made the a glossary of terms in our Knowledge Base: https://peltarion.com/knowledge-center/documentation/glossary and we are adding new AI concepts to our concepts section as well: https://peltarion.com/knowledge-center/documentation/ai-concepts . Hope these help and please let us know if you find something that you feel should be added!",1
how do i get to my projects? i see NEW project - but how to i get to anything i already started? also the existing tutorial data sets - there is a problem with the popup overlay -,"Hi, sorry to hear that you are having trouble locating your projects. You should be able to find a list of your current projects by clicking on the 'Projects' text in the top left anywhere you are in the platform.",1
How to start ? I'm new to this,"Hi, if you are new to the platform the best place to start is our Tutorial section: https://peltarion.com/knowledge-center/documentation/tutorials . If you like to learn more about the world AI and how to use the platform as well, we have created a course that will be helpful for you: https://faster-ai.teachable.com/ .",1
I have some sales data from Salesforces and I would like to understand which criterias are more likely to make me win a deal,"This sounds like a use case you could do on the platform. It all depends on the quality of your data and your problem type really.

We have some tutorials that could match your use case.


Regression

The Sales forecasting solves a regression problem where the model predicts a number. It also shows you how to integrate your model prediction into Excel or Google sheet.


https://peltarion.com/knowledge-center/documentation/tutorials/sales-forecasting-with-spreadsheet-integration

Binary classification

The Buy or not solves a binary problem where the model predicts if a customer will buy or not. This sounds a bit like your use case, will you win the deal or not.


https://peltarion.com/knowledge-center/documentation/tutorials/buy-or-not-/-predict-from-tabular-data

I suggest that you sign up to the platform (if you haven't already) and try these tutorials out and then use your own data.

Don't hesitate to reach out to us again if you have any further questions.
",1
"Hi! I uploaded dataset. 1.5 Gb size, images. Created index.csv and put everything in .zip archive.
But it takes forever to generate table view in dataset detailed view. Also trying to Save version throw an error:
Generic error (16576835258925044263).
Can you help me with that?","Hi,

Let's see what the problem is. I need a few things from you if it is ok.
First, could you please send me the URL to the page where you get this error?

Is it ok if I take a look at your project.

Second, can you send me the zip vie wetransfer, sprend or similar so I can take a look at it?
...
We found two things.
- Fix the paths images/image-2365 to images/image-2365.jpg, that is add .jpg to each file path
- And correct gender on row with images/image-2365. It crashes if you got an empty cell.",1
"H5 model results different to peltarion deployment

I have downloaded various H5 models which were trained on the platform. I am using these H5 models in Keras. However, when I compare the H5 results to the http post on the platform, the results are different.


","We think the cause of the problem is in the ordering of the channels of the image. Whereas most image files are saved with Red-Green-Blue ordering, our platform works internally with Blue-Green-Red ordering, which is what the H5 downloaded model expects to receive.

Unfortunately this way of processing images is not the most common and we haven't documented it well, so we're sorry for that. But we have current work ongoing to support the SavedModel format for download, and to homogenize usage of Red-Green-Blue. So if you plan to download your models for local usage, things should get easier in the future.

I hope this will solve the issue, but let me know if that's not the case or if there is anything else I can help you with. ",1
So what does the API accept? I believe it doesn't accept Base64 encoded images?,"So it does accept b64-encoded images as well. I'm not sure if it accepts it like this when sending form-data, though. Seems some information is lost. But I know the Peltarion platform accepts b64 if you send it as JSON. There's an example of that (although in Python) in our Deployment API page: https://peltarion.com/knowledge-center/documentation/peltarion-apis/deployment-api",1
"Dear Peltarion-Team, I'm interested in stock related Twitter sentiment analysis. Do you provide Data on this topic as well?","We do not provide a dataset with tweets tagged with sentiment.
However, we have a dataset with headlines that consists of about 28K news headlines and their tags, indicating whether the headline was sarcastic or not.

But there should be a dataset out there with twitter sentiments. If there is you would probably be able to upload that dataset to the platform and use it.

This is an example but I can't download it since I'm not part of the competition.
https://www.kaggle.com/c/twitter-sentiment-analysis/

When you use datasets that's not yours, remember to read the terms and conditions for that dataset before you use it:)

",1
Is this platform provide any third party deployment services?,"Yes, once your model is deployed, you can connect it to other applications through an HTTP API.
You can read more here: https://peltarion.com/knowledge-center/documentation/peltarion-connectors",1
Is it possible to run a list of items through the API?,"Hi!
You send multiple items in the payload to the api. You can read more here:  https://peltarion.com/knowledge-center/documentation/peltarion-connectors
It is not supported in all connectors thought so check the documentation.",1
i keep getting a 500 error code when making calls to my API? is there documentation on what the issue is?,Could you tell me a little bit more about what you are trying to do? This error could derive from many different things. You can read more here: https://peltarion.com/knowledge-center/documentation/peltarion-connectors,1
"
am trying to create a new sample with peltarion

in my csv file I have 4 column, first 3 are text fields, and last one is bool

am trying to make a logic to predict my last bool field ie true or false from the input ie other 3 fields

but the status am expecting is true/false. Wonder why am getting numbers there.","The value you are getting as status is the probability that the status is the positive class, which for you would be the status True.
A common way to proceed is to consider that if the probability is above 0.5 then it's positive, and below 0.5 it's negative. So 0.2513224 would mean False.

If that's relevant you can read more about choosing a value of threshold on the ROC curve page.",1
